|selA1|selA2|selB |selOut|        x         |        y         |        p         |        q         |zx |nx |zy |ny | f |no |       out        |zr |ng |
|  0  |  0  |  0  |  1   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 1 | 0 | 1 | 0 | 1 | 0 | 0000000000000000 | 1 | 0 |
|  0  |  0  |  0  |  1   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 1 | 1 | 1 | 1 | 1 | 1 | 0000000000000001 | 0 | 0 |
|  0  |  0  |  0  |  1   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 1 | 1 | 1 | 0 | 1 | 0 | 1111111111111111 | 0 | 1 |
|  0  |  0  |  0  |  1   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 0 | 0 | 1 | 1 | 0 | 0 | 0000000000000000 | 1 | 0 |
|  0  |  0  |  0  |  1   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 1 | 1 | 0 | 0 | 0 | 0 | 1111111111111111 | 0 | 1 |
|  0  |  0  |  0  |  1   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 0 | 0 | 1 | 1 | 0 | 1 | 1111111111111111 | 0 | 1 |
|  0  |  0  |  0  |  1   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 1 | 1 | 0 | 0 | 0 | 1 | 0000000000000000 | 1 | 0 |
|  0  |  0  |  0  |  1   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 0 | 0 | 1 | 1 | 1 | 1 | 0000000000000000 | 1 | 0 |
|  0  |  0  |  0  |  1   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 1 | 1 | 0 | 0 | 1 | 1 | 0000000000000001 | 0 | 0 |
|  0  |  0  |  0  |  1   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 0 | 1 | 1 | 1 | 1 | 1 | 0000000000000001 | 0 | 0 |
|  0  |  0  |  0  |  1   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 1 | 1 | 0 | 1 | 1 | 1 | 0000000000000000 | 1 | 0 |
|  0  |  0  |  0  |  1   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 0 | 0 | 1 | 1 | 1 | 0 | 1111111111111111 | 0 | 1 |
|  0  |  0  |  0  |  1   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 1 | 1 | 0 | 0 | 1 | 0 | 1111111111111110 | 0 | 1 |
|  0  |  0  |  0  |  1   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 0 | 0 | 0 | 0 | 1 | 0 | 1111111111111111 | 0 | 1 |
|  0  |  0  |  0  |  1   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 0 | 1 | 0 | 0 | 1 | 1 | 0000000000000001 | 0 | 0 |
|  0  |  0  |  0  |  1   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 0 | 0 | 0 | 1 | 1 | 1 | 1111111111111111 | 0 | 1 |
|  0  |  0  |  0  |  1   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 0 | 0 | 0 | 0 | 0 | 0 | 0000000000000000 | 1 | 0 |
|  0  |  0  |  0  |  1   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 0 | 1 | 0 | 1 | 0 | 1 | 1111111111111111 | 0 | 1 |
|  0  |  0  |  1  |  1   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 0 | 0 | 1 | 1 | 0 | 0 | 0000000000000000 | 1 | 0 |
|  0  |  0  |  1  |  1   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 1 | 1 | 0 | 0 | 0 | 0 | 1111111111111111 | 0 | 1 |
|  0  |  0  |  1  |  1   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 0 | 0 | 1 | 1 | 0 | 1 | 1111111111111111 | 0 | 1 |
|  0  |  0  |  1  |  1   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 1 | 1 | 0 | 0 | 0 | 1 | 0000000000000000 | 1 | 0 |
|  0  |  0  |  1  |  1   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 0 | 0 | 1 | 1 | 1 | 1 | 0000000000000000 | 1 | 0 |
|  0  |  0  |  1  |  1   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 1 | 1 | 0 | 0 | 1 | 1 | 0000000000000001 | 0 | 0 |
|  0  |  0  |  1  |  1   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 0 | 1 | 1 | 1 | 1 | 1 | 0000000000000001 | 0 | 0 |
|  0  |  0  |  1  |  1   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 1 | 1 | 0 | 1 | 1 | 1 | 0000000000000000 | 1 | 0 |
|  0  |  0  |  1  |  1   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 0 | 0 | 1 | 1 | 1 | 0 | 1111111111111111 | 0 | 1 |
|  0  |  0  |  1  |  1   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 1 | 1 | 0 | 0 | 1 | 0 | 1111111111111110 | 0 | 1 |
|  0  |  0  |  1  |  1   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 0 | 0 | 0 | 0 | 1 | 0 | 1111111111111111 | 0 | 1 |
|  0  |  0  |  1  |  1   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 0 | 1 | 0 | 0 | 1 | 1 | 0000000000000001 | 0 | 0 |
|  0  |  0  |  1  |  1   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 0 | 0 | 0 | 1 | 1 | 1 | 1111111111111111 | 0 | 1 |
|  0  |  0  |  1  |  1   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 0 | 0 | 0 | 0 | 0 | 0 | 0000000000000000 | 1 | 0 |
|  0  |  0  |  1  |  1   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 0 | 1 | 0 | 1 | 0 | 1 | 1111111111111111 | 0 | 1 |
